Symbol,Name,Belonging_To_Sector,Key_Name,included_in_industries,children
NQUSB50101010,Nasdaq US Benchmark Construction Index,NQUSB50,Construction,"NQUSB50,NQUSB5010,NQUSB50101010",
NQUSB50201010,Nasdaq US Benchmark Aerospace Index,NQUSB50,Aerospace,"NQUSB50,NQUSB5020,NQUSB502010,NQUSB50201010",
NQUSB50201020,Nasdaq US Benchmark Defense Index,NQUSB50,Defense,"NQUSB50,NQUSB5020,NQUSB502010,NQUSB50201020",
NQUSB50203030,Nasdaq US Benchmark Containers and Packaging Index,NQUSB50,Containers and Packaging,"NQUSB50,NQUSB5020,NQUSB502030,NQUSB50203030",
NQUSB50203000,Nasdaq US Benchmark Diversified Industrials Index,NQUSB50,Diversified Industrials,"NQUSB50,NQUSB5020,NQUSB502030,NQUSB50203000",
NQUSB10102015,Nasdaq US Benchmark Electronic Components Index,NQUSB10,Electronic Components,"NQUSB10,NQUSB101020,NQUSB10102015",
NQUSB50202025,Nasdaq US Benchmark Electronic Equipment: Gauges and Meters Index,NQUSB50,Electronic Equipment: Gauges and Meters,"NQUSB50,NQUSB5020,NQUSB502020,NQUSB50202025",
NQUSB50206015,Nasdaq US Benchmark Commercial Vehicles and Parts Index,NQUSB50,Commercial Vehicles and Parts,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206015",
NQUSB50204000,Nasdaq US Benchmark Machinery: Industrial Index,NQUSB50,Machinery: Industrial,"NQUSB50,NQUSB5020,NQUSB502040,NQUSB50204000",
NQUSB50206040,Nasdaq US Benchmark Delivery Services Index,NQUSB50,Delivery Services,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206040",
NQUSB50206020,Nasdaq US Benchmark Railroads Index,NQUSB50,Railroads,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206020",
NQUSB50206060,Nasdaq US Benchmark Transportation Services Index,NQUSB50,Transportation Services,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206060",
NQUSB50206010,Nasdaq US Benchmark Trucking Index,NQUSB50,Trucking,"NQUSB50,NQUSB5020,NQUSB502060,NQUSB50206010",
NQUSB50205020,Nasdaq US Benchmark Professional Business Support Services Index,NQUSB50,Professional Business Support Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205020",
NQUSB50205025,Nasdaq US Benchmark Business Training and Employment Agencies Index,NQUSB50,Business Training and Employment Agencies,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205025",
NQUSB50205015,Nasdaq US Benchmark Transaction Processing Services Index,NQUSB50,Transaction Processing Services,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205015",
NQUSB50205010,Nasdaq US Benchmark Industrial Suppliers Index,NQUSB50,Industrial Suppliers,"NQUSB50,NQUSB5020,NQUSB502050,NQUSB50205010",
NQUSB651030,Nasdaq US Benchmark Waste and Disposal Services Index,NQUSB65,Waste and Disposal Services,"NQUSB65,NQUSB651030",
NQUSB40101025,Nasdaq US Benchmark Auto Parts Index,NQUSB40,Auto Parts,"NQUSB40,NQUSB4010,NQUSB40101025",
NQUSB45101020,Nasdaq US Benchmark Soft Drinks Index,NQUSB45,Soft Drinks,"NQUSB45,NQUSB4510,NQUSB451010,NQUSB45101020",
NQUSB45102010,"Nasdaq US Benchmark Farming, Fishing, Ranching and Plantations Index",NQUSB45,"Farming, Fishing, Ranching and Plantations","NQUSB45,NQUSB4510,NQUSB451020,NQUSB45102010",
NQUSB45102020,Nasdaq US Benchmark Food Products Index,NQUSB45,Food Products,"NQUSB45,NQUSB4510,NQUSB451020,NQUSB45102020",
NQUSB40202025,Nasdaq US Benchmark Household Equipment and Products Index,NQUSB40,Household Equipment and Products,"NQUSB40,NQUSB4020,NQUSB402020,NQUSB40202025",
NQUSB45201030,Nasdaq US Benchmark Nondurable Household Products Index,NQUSB45,Nondurable Household Products,"NQUSB45,NQUSB4520,NQUSB45201030",
NQUSB40202015,Nasdaq US Benchmark Household Furnishings Index,NQUSB40,Household Furnishings,"NQUSB40,NQUSB4020,NQUSB402020,NQUSB40202015",
NQUSB40202010,Nasdaq US Benchmark Home Construction Index,NQUSB40,Home Construction,"NQUSB40,NQUSB4020,NQUSB402020,NQUSB40202010",
NQUSB40203010,Nasdaq US Benchmark Consumer Electronics Index,NQUSB40,Consumer Electronics,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203010",
NQUSB40203050,Nasdaq US Benchmark Recreational Products Index,NQUSB40,Recreational Products,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203050",
NQUSB40203045,Nasdaq US Benchmark Toys Index,NQUSB40,Toys,"NQUSB40,NQUSB4020,NQUSB402030,NQUSB40203045",
NQUSB40204020,Nasdaq US Benchmark Clothing and Accessories Index,NQUSB40,Clothing and Accessories,"NQUSB40,NQUSB4020,NQUSB402040,NQUSB40204020",
NQUSB40204025,Nasdaq US Benchmark Footwear Index,NQUSB40,Footwear,"NQUSB40,NQUSB4020,NQUSB402040,NQUSB40204025",
NQUSB45201020,Nasdaq US Benchmark Personal Products Index,NQUSB45,Personal Products,"NQUSB45,NQUSB4520,NQUSB45201020",
NQUSB20101020,Nasdaq US Benchmark Health Care Management Services Index,NQUSB20,Health Care Management Services,"NQUSB20,NQUSB201010,NQUSB20101020",
NQUSB20102010,Nasdaq US Benchmark Medical Equipment Index,NQUSB20,Medical Equipment,"NQUSB20,NQUSB201020,NQUSB20102010",
NQUSB20102015,Nasdaq US Benchmark Medical Supplies Index,NQUSB20,Medical Supplies,"NQUSB20,NQUSB201020,NQUSB20102015",
NQUSB20103010,Nasdaq US Benchmark Biotechnology Index,NQUSB20,Biotechnology,"NQUSB20,NQUSB201030,NQUSB20103010",
NQUSB20103015,Nasdaq US Benchmark Pharmaceuticals Index,NQUSB20,Pharmaceuticals,"NQUSB20,NQUSB201030,NQUSB20103015",
NQUSB45201015,Nasdaq US Benchmark Drug Retailers Index,NQUSB45,Drug Retailers,"NQUSB45,NQUSB4520,NQUSB45201015",
NQUSB45201010,Nasdaq US Benchmark Food Retailers and Wholesalers Index,NQUSB45,Food Retailers and Wholesalers,"NQUSB45,NQUSB4520,NQUSB45201010",
NQUSB40401020,Nasdaq US Benchmark Apparel Retailers Index,NQUSB40,Apparel Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401020",
NQUSB40401010,Nasdaq US Benchmark Diversified Retailers Index,NQUSB40,Diversified Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401010",
NQUSB40401025,Nasdaq US Benchmark Home Improvement Retailers Index,NQUSB40,Home Improvement Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401025",
NQUSB40201070,Nasdaq US Benchmark Consumer Services: Misc. Index,NQUSB40,Consumer Services: Misc.,"NQUSB40,NQUSB4020,NQUSB402010,NQUSB40201070",
NQUSB40401030,Nasdaq US Benchmark Specialty Retailers Index,NQUSB40,Specialty Retailers,"NQUSB40,NQUSB4040,NQUSB404010,NQUSB40401030",
NQUSB15102010,Nasdaq US Benchmark Cable Television Services Index,NQUSB15,Cable Television Services,"NQUSB15,NQUSB151020,NQUSB15102010",
NQUSB40301020,Nasdaq US Benchmark Media Agencies Index,NQUSB40,Media Agencies,"NQUSB40,NQUSB4030,NQUSB40301020",
NQUSB40301030,Nasdaq US Benchmark Publishing Index,NQUSB40,Publishing,"NQUSB40,NQUSB4030,NQUSB40301030",
NQUSB40501010,Nasdaq US Benchmark Airlines Index,NQUSB40,Airlines,"NQUSB40,NQUSB4050,NQUSB40501010",
NQUSB40501020,Nasdaq US Benchmark Casinos and Gambling Index,NQUSB40,Casinos and Gambling,"NQUSB40,NQUSB4050,NQUSB40501020",
NQUSB40501025,Nasdaq US Benchmark Hotels and Motels Index,NQUSB40,Hotels and Motels,"NQUSB40,NQUSB4050,NQUSB40501025",
NQUSB40501030,Nasdaq US Benchmark Recreational Services Index,NQUSB40,Recreational Services,"NQUSB40,NQUSB4050,NQUSB40501030",
NQUSB40501040,Nasdaq US Benchmark Restaurants and Bars Index,NQUSB40,Restaurants and Bars,"NQUSB40,NQUSB4050,NQUSB40501040",
NQUSB40501015,Nasdaq US Benchmark Travel and Tourism Index,NQUSB40,Travel and Tourism,"NQUSB40,NQUSB4050,NQUSB40501015",
NQUSB65101015,Nasdaq US Benchmark Conventional Electricity Index,NQUSB65,Conventional Electricity,"NQUSB65,NQUSB651010,NQUSB65101015",
NQUSB65102020,Nasdaq US Benchmark Gas Distribution Index,NQUSB65,Gas Distribution,"NQUSB65,NQUSB651020,NQUSB65102020",
NQUSB65102000,Nasdaq US Benchmark Multi-utilities Index,NQUSB65,Multi-utilities,"NQUSB65,NQUSB651020,NQUSB65102000",
NQUSB65102030,Nasdaq US Benchmark Water Index,NQUSB65,Water,"NQUSB65,NQUSB651020,NQUSB65102030",
NQUSB30302010,Nasdaq US Benchmark Full Line Insurance Index,NQUSB30,Full Line Insurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302010",
NQUSB30302025,Nasdaq US Benchmark Property and Casualty Insurance Index,NQUSB30,Property and Casualty Insurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302025",
NQUSB30302020,Nasdaq US Benchmark Reinsurance Index,NQUSB30,Reinsurance,"NQUSB30,NQUSB3030,NQUSB303020,NQUSB30302020",
NQUSB35101010,Nasdaq US Benchmark Real Estate Holding and Development Index,NQUSB35,Real Estate Holding and Development,"NQUSB35,NQUSB351010,NQUSB35101010",
NQUSB35101015,Nasdaq US Benchmark Real Estate Services Index,NQUSB35,Real Estate Services,"NQUSB35,NQUSB351010,NQUSB35101015",
NQUSB35102030,Nasdaq US Benchmark Office REITs Index,NQUSB35,Office REITs,"NQUSB35,NQUSB351020,NQUSB35102030",
NQUSB35102045,Nasdaq US Benchmark Retail REITs Index,NQUSB35,Retail REITs,"NQUSB35,NQUSB351020,NQUSB35102045",
NQUSB35102040,Nasdaq US Benchmark Residential REITs Index,NQUSB35,Residential REITs,"NQUSB35,NQUSB351020,NQUSB35102040",
NQUSB35102000,Nasdaq US Benchmark Diversified REITs Index,NQUSB35,Diversified REITs,"NQUSB35,NQUSB351020,NQUSB35102000",
NQUSB35102070,Nasdaq US Benchmark Other Specialty REITs Index,NQUSB35,Other Specialty REITs,"NQUSB35,NQUSB351020,NQUSB35102070",
NQUSB30203020,Nasdaq US Benchmark Mortgage REITs: Residential Index,NQUSB30,Mortgage REITs: Residential,"NQUSB30,NQUSB3020,NQUSB302030,NQUSB30203020",
NQUSB35102015,Nasdaq US Benchmark Hotel and Lodging REITs Index,NQUSB35,Hotel and Lodging REITs,"NQUSB35,NQUSB351020,NQUSB35102015",
NQUSB30202010,Nasdaq US Benchmark Asset Managers and Custodians Index,NQUSB30,Asset Managers and Custodians,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202010",
NQUSB30201020,Nasdaq US Benchmark Consumer Lending Index,NQUSB30,Consumer Lending,"NQUSB30,NQUSB3020,NQUSB302010,NQUSB30201020",
NQUSB30202000,Nasdaq US Benchmark Diversified Financial Services Index,NQUSB30,Diversified Financial Services,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202000",
NQUSB30202015,Nasdaq US Benchmark Investment Services Index,NQUSB30,Investment Services,"NQUSB30,NQUSB3020,NQUSB302020,NQUSB30202015",
NQUSB30201025,Nasdaq US Benchmark Mortgage Finance Index,NQUSB30,Mortgage Finance,"NQUSB30,NQUSB3020,NQUSB302010,NQUSB30201025",
