Industry,Total_Available,include_top,Top_Stocks
Investment Managers,39,28,"MS, BX, BLK, UBS, BN, KKR, BAM, APO, ARES, RJF, NTRS, OWL, TROW, TPG, CG, PFG, ARCC, SF, BEN, IVZ, SEIC, HQY, MORN, AMG, STEP, CIGI, HLNE, JHG"
Investment Trusts/Mutual Funds,39,28,"TPL, VNOM, BXSL, FSK, BSM, TSLX, WT, KRP, CSWC, OCSL, SBR, GSBD, TRIN, DMLP, BBDC, ASST, CGBD, PFLT, SLRC, PBT, FDUS, MSIF, GAIN, CION, GLAD, PSBD, SCM, SJT"
Life/Health Insurance,12,9,"PRU, CRBG, EQH, RGA, PRI, VOYA, JXN, BHF, PRVA"
Major Banks,39,28,"JPM, BAC, WFC, HSBC, RY, C, MUFG, HDB, SAN, TD, COF, BBVA, SMFG, BMO, MFG, BNS, ITUB, ING, PNC, LYG, NWG, BBDO, BBD, HBAN, SHG, BSBR, CFG, RF"
Major Telecommunications,20,14,"CHT, BCE, FYBR, LUMN, KT, TEO, LBTYB, LBTYK, LBTYA, LILAK, LILA, TV, IDT, CCOI"
Managed Health Care,9,7,"UNH, ELV, CI, HUM, CNC, MOH, OSCR"
Marine Shipping,39,28,"KEX, FRO, MATX, HAFN, STNG, CMBT, INSW, TDW, ZIM, SBLK, TRMD, DHT, TNK, BWLP, CMRE, DAC, NMM, FLNG, ECO, GSL, NVGS, CCEC, SFL, LPG, TK, GNK, NAT, TEN"
Media Conglomerates,3,3,"SPHR, THH, FTRK"
Medical Distributors,10,7,"MCK, COR, CAH, HSIC, POM, WGRX, MYO"
Medical Specialties,39,28,"ABT, TMO, ISRG, DHR, BSX, SYK, MDT, IDXX, BDX, EW, A, ALC, RMD, GEHC, MTD, PHG, STE, DXCM, WAT, PODD, WST, ILMN, ZBH, EXAS, HOLX, COO, SNN, GMED"
Medical/Nursing Services,39,28,"LH, SOLV, GH, FMS, EHC, ENSG, HIMS, DVA, BTSG, RDNT, BLLN, OPCH, WGS, CON, LFST, ADUS, MD, AVAH, AZTA, ACHC, NEO, TDOC, USPH, OPK, PNTG, PSNL, FLGT, NUTX"
